date,is_weekend,is_holiday,working_hours,holiday_name
4/19/2018,FALSE,FALSE,8,
4/20/2018,FALSE,FALSE,8,
4/21/2018,TRUE,FALSE,0,
4/22/2018,TRUE,FALSE,0,
4/23/2018,FALSE,FALSE,8,
4/24/2018,FALSE,FALSE,8,
4/25/2018,FALSE,FALSE,8,
4/26/2018,FALSE,FALSE,8,
4/27/2018,FALSE,FALSE,8,
4/28/2018,TRUE,FALSE,0,
4/29/2018,TRUE,FALSE,0,
4/30/2018,FALSE,FALSE,8,
5/1/2018,FALSE,FALSE,8,
5/2/2018,FALSE,FALSE,8,
5/3/2018,FALSE,FALSE,8,
5/4/2018,FALSE,FALSE,8,
5/5/2018,TRUE,FALSE,0,
5/6/2018,TRUE,FALSE,0,
5/7/2018,FALSE,FALSE,8,
5/8/2018,FALSE,FALSE,8,
5/9/2018,FALSE,FALSE,8,
5/10/2018,FALSE,FALSE,8,
5/11/2018,FALSE,FALSE,8,
5/12/2018,TRUE,FALSE,0,
5/13/2018,TRUE,FALSE,0,
5/14/2018,FALSE,FALSE,8,
5/15/2018,FALSE,FALSE,8,
5/16/2018,FALSE,FALSE,8,
5/17/2018,FALSE,FALSE,8,
5/18/2018,FALSE,FALSE,8,
5/19/2018,TRUE,FALSE,0,
5/20/2018,TRUE,FALSE,0,
5/21/2018,FALSE,FALSE,8,
5/22/2018,FALSE,FALSE,8,
5/23/2018,FALSE,FALSE,8,
5/24/2018,FALSE,FALSE,8,
5/25/2018,FALSE,FALSE,8,
5/26/2018,TRUE,FALSE,0,
5/27/2018,TRUE,FALSE,0,
5/28/2018,FALSE,TRUE,0,Memorial Day
5/29/2018,FALSE,FALSE,8,
5/30/2018,FALSE,FALSE,8,
5/31/2018,FALSE,FALSE,8,
6/1/2018,FALSE,FALSE,8,
6/2/2018,TRUE,FALSE,0,
6/3/2018,TRUE,FALSE,0,
6/4/2018,FALSE,FALSE,8,
6/5/2018,FALSE,FALSE,8,
6/6/2018,FALSE,FALSE,8,
6/7/2018,FALSE,FALSE,8,
6/8/2018,FALSE,FALSE,8,
6/9/2018,TRUE,FALSE,0,
6/10/2018,TRUE,FALSE,0,
6/11/2018,FALSE,FALSE,8,
6/12/2018,FALSE,FALSE,8,
6/13/2018,FALSE,FALSE,8,
6/14/2018,FALSE,FALSE,8,
6/15/2018,FALSE,FALSE,8,
6/16/2018,TRUE,FALSE,0,
6/17/2018,TRUE,FALSE,0,
6/18/2018,FALSE,FALSE,8,
6/19/2018,FALSE,FALSE,8,
6/20/2018,FALSE,FALSE,8,
6/21/2018,FALSE,FALSE,8,
6/22/2018,FALSE,FALSE,8,
6/23/2018,TRUE,FALSE,0,
